dataset,k,seed,layer,attribute,mi_nats,num_pairs,clusters_used
SOD,1000,12,8,Velocity,0.1360434008886762,4793154,939
SOD,1000,12,9,Velocity,0.0650203484469967,4793154,990
SOD,1000,12,10,Velocity,0.0781391460376561,4793154,991
SOD,1000,12,11,Velocity,0.0790508750691712,4793154,992
SOD,1000,12,12,Velocity,0.5769937899079893,4793154,946
SOD,1000,42,1,Bar,0.269561073460152,4793154,978
SOD,1000,42,2,Bar,0.3676585720694997,4793154,1000
SOD,1000,42,3,Bar,0.4376686985303746,4793154,996
SOD,1000,42,4,Bar,0.5009893537062241,4793154,995
SOD,1000,42,5,Bar,0.7296048844080696,4793154,978
SOD,1000,42,6,Bar,0.7435064516699065,4793154,946
SOD,1000,42,7,Bar,0.5217914377014692,4793154,817
SOD,1000,42,8,Bar,0.6816985335032918,4793154,880
SOD,1000,42,9,Bar,0.6355343212116856,4793154,992
SOD,1000,42,10,Bar,0.5086201433946642,4793154,991
SOD,1000,42,11,Bar,0.1590591384198871,4793154,980
SOD,1000,42,12,Bar,0.0428957397812995,4793154,890
SOD,1000,42,1,Duration,1.717964756651149,4793154,978
SOD,1000,42,2,Duration,0.9218901462830628,4793154,1000
SOD,1000,42,3,Duration,0.9227313345233582,4793154,996
SOD,1000,42,4,Duration,0.5469025956977871,4793154,995
SOD,1000,42,5,Duration,0.5549056494821482,4793154,978
SOD,1000,42,6,Duration,0.5185513516801147,4793154,946
SOD,1000,42,7,Duration,0.6978195630220847,4793154,817
SOD,1000,42,8,Duration,0.5107182404935747,4793154,880
SOD,1000,42,9,Duration,0.4545398136905764,4793154,992
SOD,1000,42,10,Duration,0.5654381723210385,4793154,991
SOD,1000,42,11,Duration,0.6034017420133871,4793154,980
SOD,1000,42,12,Duration,0.7621609759343592,4793154,890
SOD,1000,42,1,Pitch,1.6323438685052294,4793154,978
SOD,1000,42,2,Pitch,1.9891834040164076,4793154,1000
SOD,1000,42,3,Pitch,1.393803755750383,4793154,996
SOD,1000,42,4,Pitch,1.6989976158284117,4793154,995
SOD,1000,42,5,Pitch,0.5847151853622522,4793154,978
SOD,1000,42,6,Pitch,0.514115232894534,4793154,946
SOD,1000,42,7,Pitch,0.3936223599727163,4793154,817
SOD,1000,42,8,Pitch,0.5106392258355437,4793154,880
SOD,1000,42,9,Pitch,1.2169412967294273,4793154,992
SOD,1000,42,10,Pitch,1.781413419178774,4793154,991
SOD,1000,42,11,Pitch,2.894330703798552,4793154,980
SOD,1000,42,12,Pitch,3.2387491098734937,4793154,890
SOD,1000,42,1,Position,0.8587389532764433,4793154,978
SOD,1000,42,2,Position,1.484828388022024,4793154,1000
SOD,1000,42,3,Position,1.744856089528125,4793154,996
SOD,1000,42,4,Position,1.4532876511653856,4793154,995
SOD,1000,42,5,Position,1.9032785699865056,4793154,978
SOD,1000,42,6,Position,1.7661268140056643,4793154,946
SOD,1000,42,7,Position,1.831993841626664,4793154,817
SOD,1000,42,8,Position,1.6807579269387645,4793154,880
SOD,1000,42,9,Position,1.5485000103642397,4793154,992
SOD,1000,42,10,Position,1.7558828992394262,4793154,991
SOD,1000,42,11,Position,1.88903444597826,4793154,980
SOD,1000,42,12,Position,0.6145316592428713,4793154,890
SOD,1000,42,1,Instrument,0.5973735500162533,4793154,978
SOD,1000,42,2,Instrument,0.4834425017061107,4793154,1000
SOD,1000,42,3,Instrument,0.3690619964032455,4793154,996
SOD,1000,42,4,Instrument,0.2834469808444177,4793154,995
SOD,1000,42,5,Instrument,0.2724186845756327,4793154,978
SOD,1000,42,6,Instrument,0.2890896495944658,4793154,946
SOD,1000,42,7,Instrument,0.299549556460937,4793154,817
SOD,1000,42,8,Instrument,0.3096154568545649,4793154,880
SOD,1000,42,9,Instrument,0.3002339622796472,4793154,992
SOD,1000,42,10,Instrument,0.2869589431693615,4793154,991
SOD,1000,42,11,Instrument,0.2893874469631531,4793154,980
SOD,1000,42,12,Instrument,0.5241294964202593,4793154,890
SOD,1000,42,1,Tempo,0.0923023020698081,4793154,978
SOD,1000,42,2,Tempo,0.0610055239251946,4793154,1000
SOD,1000,42,3,Tempo,0.0543915484310317,4793154,996
SOD,1000,42,4,Tempo,0.0358472023279431,4793154,995
SOD,1000,42,5,Tempo,0.0400776657339126,4793154,978
SOD,1000,42,6,Tempo,0.0404581865466524,4793154,946
SOD,1000,42,7,Tempo,0.0497380593283189,4793154,817
SOD,1000,42,8,Tempo,0.0447976017008589,4793154,880
SOD,1000,42,9,Tempo,0.0390173176405417,4793154,992
SOD,1000,42,10,Tempo,0.049916257606125,4793154,991
SOD,1000,42,11,Tempo,0.0534270545975417,4793154,980
SOD,1000,42,12,Tempo,0.0919073783724943,4793154,890
SOD,1000,42,1,Time signature,0.1243951474755225,4793154,978
SOD,1000,42,2,Time signature,0.1102742245491985,4793154,1000
SOD,1000,42,3,Time signature,0.1144975952198863,4793154,996
SOD,1000,42,4,Time signature,0.0812146470059502,4793154,995
SOD,1000,42,5,Time signature,0.1228311562388152,4793154,978
SOD,1000,42,6,Time signature,0.1135398005337549,4793154,946
SOD,1000,42,7,Time signature,0.1296339252667643,4793154,817
SOD,1000,42,8,Time signature,0.107833284627502,4793154,880
SOD,1000,42,9,Time signature,0.0954746429356116,4793154,992
SOD,1000,42,10,Time signature,0.1166750454426329,4793154,991
SOD,1000,42,11,Time signature,0.129101701439303,4793154,980
SOD,1000,42,12,Time signature,0.1184337540195489,4793154,890
SOD,1000,42,1,Velocity,0.3144583025856846,4793154,978
SOD,1000,42,2,Velocity,0.1463085471884917,4793154,1000
SOD,1000,42,3,Velocity,0.0883602374829994,4793154,996
SOD,1000,42,4,Velocity,0.0357309727554336,4793154,995
SOD,1000,42,5,Velocity,0.0303764987800211,4793154,978
SOD,1000,42,6,Velocity,0.0524073319775641,4793154,946
SOD,1000,42,7,Velocity,0.079029257457079,4793154,817
SOD,1000,42,8,Velocity,0.1110819334248908,4793154,880
SOD,1000,42,9,Velocity,0.0437656356395115,4793154,992
SOD,1000,42,10,Velocity,0.0559619242725089,4793154,991
SOD,1000,42,11,Velocity,0.0585122469476194,4793154,980
SOD,1000,42,12,Velocity,0.5880469242451754,4793154,890
SOD,1000,97,1,Bar,0.1415927962258738,4793154,992
SOD,1000,97,2,Bar,0.2312452991792303,4793154,1000
SOD,1000,97,3,Bar,0.3653901959584676,4793154,998
SOD,1000,97,4,Bar,0.4411303621616441,4793154,995
SOD,1000,97,5,Bar,0.6388255626962233,4793154,984
SOD,1000,97,6,Bar,0.6133905674881219,4793154,968
SOD,1000,97,7,Bar,0.3888219968264822,4793154,873
SOD,1000,97,8,Bar,0.523793045668996,4793154,878
SOD,1000,97,9,Bar,0.5644517961781099,4793154,985
SOD,1000,97,10,Bar,0.4170110456637131,4793154,993
SOD,1000,97,11,Bar,0.109642981853279,4793154,990
SOD,1000,97,12,Bar,0.0386244245646091,4793154,945
SOD,1000,97,1,Duration,2.0806800443720057,4793154,992
SOD,1000,97,2,Duration,1.2202219280441302,4793154,1000
SOD,1000,97,3,Duration,1.2011691186389268,4793154,998
SOD,1000,97,4,Duration,0.6606176652606747,4793154,995
SOD,1000,97,5,Duration,0.5897058588429068,4793154,984
SOD,1000,97,6,Duration,0.5534022710213626,4793154,968
SOD,1000,97,7,Duration,0.9009192122549844,4793154,873
SOD,1000,97,8,Duration,0.5989177350577902,4793154,878
SOD,1000,97,9,Duration,0.4540943754161231,4793154,985
SOD,1000,97,10,Duration,0.6207893885725638,4793154,993
SOD,1000,97,11,Duration,0.7631946467045652,4793154,990
SOD,1000,97,12,Duration,0.9700725353354294,4793154,945
SOD,1000,97,1,Pitch,1.7509329430345837,4793154,992
SOD,1000,97,2,Pitch,1.9704459220168524,4793154,1000
SOD,1000,97,3,Pitch,1.2924458757622048,4793154,998
SOD,1000,97,4,Pitch,1.7293599932848098,4793154,995
SOD,1000,97,5,Pitch,0.6847093657663603,4793154,984
SOD,1000,97,6,Pitch,0.6158223728462698,4793154,968
SOD,1000,97,7,Pitch,0.4171701478801146,4793154,873
SOD,1000,97,8,Pitch,0.5297137680121,4793154,878
SOD,1000,97,9,Pitch,1.1991421121149144,4793154,985
SOD,1000,97,10,Pitch,1.712093855380818,4793154,993
SOD,1000,97,11,Pitch,2.712941036002151,4793154,990
