dataset,k,seed,layer,attribute,mi_nats,num_pairs,clusters_used
SOD,2000,2,1,Time signature,0.1049181974419424,15660784,0
SOD,2000,2,2,Time signature,0.1173175497479228,15660784,0
SOD,2000,2,3,Time signature,0.1308995230568548,15660784,0
SOD,2000,2,4,Time signature,0.1023082124799901,15660784,0
SOD,2000,2,5,Time signature,0.151242470174877,15660784,0
SOD,2000,2,6,Time signature,0.1301939110229206,15660784,0
SOD,2000,2,7,Time signature,0.1462175419836712,15660784,0
SOD,2000,2,8,Time signature,0.1289932507678639,15660784,0
SOD,2000,2,9,Time signature,0.1205260400035348,15660784,0
SOD,2000,2,10,Time signature,0.1457644422046405,15660784,0
SOD,2000,2,11,Time signature,0.1618242241779595,15660784,0
SOD,2000,2,12,Time signature,0.2575787412395943,15660784,0
SOD,2000,2,1,Velocity,0.3696513462290283,15660784,0
SOD,2000,2,2,Velocity,0.2213466606235058,15660784,0
SOD,2000,2,3,Velocity,0.1589098918845251,15660784,0
SOD,2000,2,4,Velocity,0.0744069116922696,15660784,0
SOD,2000,2,5,Velocity,0.066804209253019,15660784,0
SOD,2000,2,6,Velocity,0.1540187836764832,15660784,0
SOD,2000,2,7,Velocity,0.1743829676554445,15660784,0
SOD,2000,2,8,Velocity,0.2177304684675678,15660784,0
SOD,2000,2,9,Velocity,0.1057204905361248,15660784,0
SOD,2000,2,10,Velocity,0.1055857846252245,15660784,0
SOD,2000,2,11,Velocity,0.0946663440172384,15660784,0
SOD,2000,2,12,Velocity,0.6895460202422438,15660784,0
SOD,2000,3,1,Bar,0.242188116049195,15660784,0
SOD,2000,3,2,Bar,0.3442897609312574,15660784,0
SOD,2000,3,3,Bar,0.3546161147882551,15660784,0
SOD,2000,3,4,Bar,0.3725238749422043,15660784,0
SOD,2000,3,5,Bar,0.463488115479178,15660784,0
SOD,2000,3,6,Bar,0.4613023419598833,15660784,0
SOD,2000,3,7,Bar,0.3409315166901323,15660784,0
SOD,2000,3,8,Bar,0.414104821643366,15660784,0
SOD,2000,3,9,Bar,0.4444097318835385,15660784,0
SOD,2000,3,10,Bar,0.3478112369437182,15660784,0
SOD,2000,3,11,Bar,0.212513907990277,15660784,0
SOD,2000,3,12,Bar,0.1160480752673681,15660784,0
SOD,2000,3,1,Duration,1.748563239327113,15660784,0
SOD,2000,3,2,Duration,1.0346803236917146,15660784,0
SOD,2000,3,3,Duration,1.14452919604201,15660784,0
SOD,2000,3,4,Duration,0.7310438630867376,15660784,0
SOD,2000,3,5,Duration,0.6746947943892915,15660784,0
SOD,2000,3,6,Duration,0.6538935117982602,15660784,0
SOD,2000,3,7,Duration,0.9414852149899612,15660784,0
SOD,2000,3,8,Duration,0.6704491981976316,15660784,0
SOD,2000,3,9,Duration,0.5572650529866351,15660784,0
SOD,2000,3,10,Duration,0.6822405041613677,15660784,0
SOD,2000,3,11,Duration,0.7451232102919927,15660784,0
SOD,2000,3,12,Duration,1.1184043728886213,15660784,0
SOD,2000,3,1,Pitch,1.5354077749719075,15660784,0
SOD,2000,3,2,Pitch,1.85282116216604,15660784,0
SOD,2000,3,3,Pitch,1.490916500647368,15660784,0
SOD,2000,3,4,Pitch,1.982745905570116,15660784,0
SOD,2000,3,5,Pitch,0.955986490975204,15660784,0
SOD,2000,3,6,Pitch,0.7790940389567965,15660784,0
SOD,2000,3,7,Pitch,0.5075492283321821,15660784,0
SOD,2000,3,8,Pitch,0.713367625876086,15660784,0
SOD,2000,3,9,Pitch,1.596930161622617,15660784,0
SOD,2000,3,10,Pitch,2.1234709334088606,15660784,0
SOD,2000,3,11,Pitch,2.904857423531584,15660784,0
SOD,2000,3,12,Pitch,2.7540470616532797,15660784,0
SOD,2000,3,1,Position,0.9130029766511574,15660784,0
SOD,2000,3,2,Position,1.7123037854398708,15660784,0
SOD,2000,3,3,Position,1.938657107310629,15660784,0
SOD,2000,3,4,Position,1.7640652380025326,15660784,0
SOD,2000,3,5,Position,2.067362659863056,15660784,0
SOD,2000,3,6,Position,1.974988275119125,15660784,0
SOD,2000,3,7,Position,2.0140402199527743,15660784,0
SOD,2000,3,8,Position,1.8749401658784524,15660784,0
SOD,2000,3,9,Position,1.8529315814736984,15660784,0
SOD,2000,3,10,Position,2.157102758162471,15660784,0
SOD,2000,3,11,Position,2.139337385043677,15660784,0
SOD,2000,3,12,Position,0.7805903106298748,15660784,0
SOD,2000,3,1,Instrument,0.7793056670122203,15660784,0
SOD,2000,3,2,Instrument,0.7186328596996303,15660784,0
SOD,2000,3,3,Instrument,0.6195752106311663,15660784,0
SOD,2000,3,4,Instrument,0.4492493264211081,15660784,0
SOD,2000,3,5,Instrument,0.5877780032792617,15660784,0
SOD,2000,3,6,Instrument,0.5616824954895302,15660784,0
SOD,2000,3,7,Instrument,0.5542114473106375,15660784,0
SOD,2000,3,8,Instrument,0.5517816592016742,15660784,0
SOD,2000,3,9,Instrument,0.559480098464195,15660784,0
SOD,2000,3,10,Instrument,0.4328687740476804,15660784,0
SOD,2000,3,11,Instrument,0.3964074692908911,15660784,0
SOD,2000,3,12,Instrument,0.7501577638482909,15660784,0
SOD,2000,3,1,Tempo,0.0905627079160269,15660784,0
SOD,2000,3,2,Tempo,0.0721734826639593,15660784,0
SOD,2000,3,3,Tempo,0.0731180991167775,15660784,0
SOD,2000,3,4,Tempo,0.0503057685158064,15660784,0
SOD,2000,3,5,Tempo,0.0632520796639891,15660784,0
SOD,2000,3,6,Tempo,0.0640229528790603,15660784,0
SOD,2000,3,7,Tempo,0.0750385508340686,15660784,0
SOD,2000,3,8,Tempo,0.0648211922327985,15660784,0
SOD,2000,3,9,Tempo,0.0608262117372947,15660784,0
SOD,2000,3,10,Tempo,0.0659394326488921,15660784,0
SOD,2000,3,11,Tempo,0.0645588251366703,15660784,0
SOD,2000,3,12,Tempo,0.1597434880837831,15660784,0
SOD,2000,3,1,Time signature,0.1023270420449278,15660784,0
SOD,2000,3,2,Time signature,0.1149044456026096,15660784,0
SOD,2000,3,3,Time signature,0.1274727123933956,15660784,0
SOD,2000,3,4,Time signature,0.1037553816428483,15660784,0
SOD,2000,3,5,Time signature,0.1434188141578888,15660784,0
SOD,2000,3,6,Time signature,0.1292200630435232,15660784,0
SOD,2000,3,7,Time signature,0.1522600770418634,15660784,0
SOD,2000,3,8,Time signature,0.1286694066774273,15660784,0
SOD,2000,3,9,Time signature,0.1215722929602375,15660784,0
SOD,2000,3,10,Time signature,0.1567217215897063,15660784,0
SOD,2000,3,11,Time signature,0.1494664345746493,15660784,0
SOD,2000,3,12,Time signature,0.2377962198417804,15660784,0
SOD,2000,3,1,Velocity,0.3439986885105063,15660784,0
SOD,2000,3,2,Velocity,0.2263464741274463,15660784,0
SOD,2000,3,3,Velocity,0.1639729409148226,15660784,0
SOD,2000,3,4,Velocity,0.073321332963747,15660784,0
SOD,2000,3,5,Velocity,0.0709461040218264,15660784,0
SOD,2000,3,6,Velocity,0.1533645318768872,15660784,0
SOD,2000,3,7,Velocity,0.1880446522588131,15660784,0
SOD,2000,3,8,Velocity,0.2103699993527362,15660784,0
SOD,2000,3,9,Velocity,0.1098168435881003,15660784,0
SOD,2000,3,10,Velocity,0.0987091940537908,15660784,0
SOD,2000,3,11,Velocity,0.0976930089421134,15660784,0
SOD,2000,3,12,Velocity,0.685763357336541,15660784,0
SOD,2000,4,1,Bar,0.2528513037290635,15660784,0
SOD,2000,4,2,Bar,0.3395157568013088,15660784,0
SOD,2000,4,3,Bar,0.3487273734323189,15660784,0
SOD,2000,4,4,Bar,0.3719715105469416,15660784,0
SOD,2000,4,5,Bar,0.4576261282877348,15660784,0
SOD,2000,4,6,Bar,0.4483225044712664,15660784,0
SOD,2000,4,7,Bar,0.3593178688201673,15660784,0
SOD,2000,4,8,Bar,0.4072027704210079,15660784,0
SOD,2000,4,9,Bar,0.4446252487677116,15660784,0
SOD,2000,4,10,Bar,0.3690686412090024,15660784,0
SOD,2000,4,11,Bar,0.202334062695309,15660784,0
SOD,2000,4,12,Bar,0.11548867278011,15660784,0
SOD,2000,4,1,Duration,1.706062609623301,15660784,0
SOD,2000,4,2,Duration,1.0189653679225463,15660784,0
SOD,2000,4,3,Duration,1.1839167530916863,15660784,0
SOD,2000,4,4,Duration,0.7103788771107709,15660784,0
SOD,2000,4,5,Duration,0.6832856613751999,15660784,0
SOD,2000,4,6,Duration,0.6615482120608678,15660784,0
SOD,2000,4,7,Duration,0.9019240190001516,15660784,0
SOD,2000,4,8,Duration,0.693652786377397,15660784,0
SOD,2000,4,9,Duration,0.5582458243038738,15660784,0
SOD,2000,4,10,Duration,0.6670207049419804,15660784,0
SOD,2000,4,11,Duration,0.7834205138421331,15660784,0
SOD,2000,4,12,Duration,1.1920626060925776,15660784,0
SOD,2000,4,1,Pitch,1.5304165729920916,15660784,0
SOD,2000,4,2,Pitch,1.856284471443402,15660784,0
SOD,2000,4,3,Pitch,1.4590734950581408,15660784,0
SOD,2000,4,4,Pitch,1.936288804376112,15660784,0
SOD,2000,4,5,Pitch,0.9156019161080584,15660784,0
SOD,2000,4,6,Pitch,0.7753549176519329,15660784,0
SOD,2000,4,7,Pitch,0.5035924564283979,15660784,0
SOD,2000,4,8,Pitch,0.6790832332409307,15660784,0
SOD,2000,4,9,Pitch,1.5124453101071034,15660784,0
SOD,2000,4,10,Pitch,2.074144514870916,15660784,0
SOD,2000,4,11,Pitch,2.9072302315065603,15660784,0
SOD,2000,4,12,Pitch,2.734974598357772,15660784,0
SOD,2000,4,1,Position,0.8755078638898798,15660784,0
SOD,2000,4,2,Position,1.6725912499994606,15660784,0
SOD,2000,4,3,Position,1.9720758727706795,15660784,0
SOD,2000,4,4,Position,1.7616273891658845,15660784,0
SOD,2000,4,5,Position,2.0886106652651266,15660784,0
SOD,2000,4,6,Position,1.9921413686879317,15660784,0
SOD,2000,4,7,Position,2.033119326945183,15660784,0
SOD,2000,4,8,Position,1.920033416217639,15660784,0
SOD,2000,4,9,Position,1.8638440161664709,15660784,0
SOD,2000,4,10,Position,2.109268762687325,15660784,0
SOD,2000,4,11,Position,2.114926213646668,15660784,0
SOD,2000,4,12,Position,0.8338929850472032,15660784,0
SOD,2000,4,1,Instrument,0.8101180023259831,15660784,0
SOD,2000,4,2,Instrument,0.7894733141162857,15660784,0
SOD,2000,4,3,Instrument,0.6290775395271394,15660784,0
SOD,2000,4,4,Instrument,0.4528499334731564,15660784,0
SOD,2000,4,5,Instrument,0.5521527697018953,15660784,0
SOD,2000,4,6,Instrument,0.5593845734697032,15660784,0
SOD,2000,4,7,Instrument,0.5699181767667193,15660784,0
SOD,2000,4,8,Instrument,0.5474046045625206,15660784,0
SOD,2000,4,9,Instrument,0.5645888604291791,15660784,0
SOD,2000,4,10,Instrument,0.5099885980272381,15660784,0
SOD,2000,4,11,Instrument,0.3996335345160158,15660784,0
SOD,2000,4,12,Instrument,0.7185246243682634,15660784,0
SOD,2000,4,1,Tempo,0.0922739425303456,15660784,0
SOD,2000,4,2,Tempo,0.0743601669183732,15660784,0
SOD,2000,4,3,Tempo,0.0751473040761171,15660784,0
SOD,2000,4,4,Tempo,0.0492615092319514,15660784,0
SOD,2000,4,5,Tempo,0.0609346639876116,15660784,0
SOD,2000,4,6,Tempo,0.0633534119850207,15660784,0
SOD,2000,4,7,Tempo,0.0757043248808551,15660784,0
SOD,2000,4,8,Tempo,0.0656142325256578,15660784,0
SOD,2000,4,9,Tempo,0.0608289157850155,15660784,0
SOD,2000,4,10,Tempo,0.0709707017759137,15660784,0
SOD,2000,4,11,Tempo,0.0658928337943486,15660784,0
SOD,2000,4,12,Tempo,0.1550392238305124,15660784,0
SOD,2000,4,1,Time signature,0.1047846282659689,15660784,0
SOD,2000,4,2,Time signature,0.1147812014562244,15660784,0
SOD,2000,4,3,Time signature,0.1286945758900903,15660784,0
SOD,2000,4,4,Time signature,0.1020324760100327,15660784,0
SOD,2000,4,5,Time signature,0.1390467329621327,15660784,0
SOD,2000,4,6,Time signature,0.1312815720607281,15660784,0
SOD,2000,4,7,Time signature,0.1632764300802858,15660784,0
SOD,2000,4,8,Time signature,0.1313493888574371,15660784,0
SOD,2000,4,9,Time signature,0.124895401790996,15660784,0
SOD,2000,4,10,Time signature,0.1593534105469208,15660784,0
SOD,2000,4,11,Time signature,0.1652276711613204,15660784,0
SOD,2000,4,12,Time signature,0.2436720512725371,15660784,0
SOD,2000,4,1,Velocity,0.370951535865877,15660784,0
SOD,2000,4,2,Velocity,0.2277236617457676,15660784,0
SOD,2000,4,3,Velocity,0.1673567780602018,15660784,0
SOD,2000,4,4,Velocity,0.0708204545526898,15660784,0
SOD,2000,4,5,Velocity,0.0692194121065147,15660784,0
SOD,2000,4,6,Velocity,0.1566808994844542,15660784,0
SOD,2000,4,7,Velocity,0.1860995997989304,15660784,0
SOD,2000,4,8,Velocity,0.2153442998492382,15660784,0
SOD,2000,4,9,Velocity,0.1109537480411379,15660784,0
SOD,2000,4,10,Velocity,0.1088886675210502,15660784,0
SOD,2000,4,11,Velocity,0.0928504053503682,15660784,0
SOD,2000,4,12,Velocity,0.6580332452542114,15660784,0
SOD,2000,42,1,Bar,0.2409038764810792,15660784,0
SOD,2000,42,2,Bar,0.3422300655389213,15660784,0
SOD,2000,42,3,Bar,0.3345005907239103,15660784,0
SOD,2000,42,4,Bar,0.3730305208929821,15660784,0
SOD,2000,42,5,Bar,0.4539163254187244,15660784,0
SOD,2000,42,6,Bar,0.4573483362633175,15660784,0
SOD,2000,42,7,Bar,0.3361699022289268,15660784,0
SOD,2000,42,8,Bar,0.389536207199079,15660784,0
SOD,2000,42,9,Bar,0.4373635974884718,15660784,0
SOD,2000,42,10,Bar,0.3585468299595044,15660784,0
SOD,2000,42,11,Bar,0.2090710298536238,15660784,0
SOD,2000,42,12,Bar,0.1151601624458993,15660784,0
SOD,2000,42,1,Duration,1.6795163377077431,15660784,0
SOD,2000,42,2,Duration,1.0049992899569542,15660784,0
SOD,2000,42,3,Duration,1.1722151467658966,15660784,0
SOD,2000,42,4,Duration,0.7001114819248421,15660784,0
SOD,2000,42,5,Duration,0.6828039692289967,15660784,0
SOD,2000,42,6,Duration,0.646032410378338,15660784,0
SOD,2000,42,7,Duration,0.8965022881415585,15660784,0
SOD,2000,42,8,Duration,0.6773807446294615,15660784,0
SOD,2000,42,9,Duration,0.5520627253869866,15660784,0
SOD,2000,42,10,Duration,0.6598512282355724,15660784,0
SOD,2000,42,11,Duration,0.7766747372206344,15660784,0
SOD,2000,42,12,Duration,1.1717660214869403,15660784,0
SOD,2000,42,1,Pitch,1.6191203005847177,15660784,0
SOD,2000,42,2,Pitch,1.8727918990189552,15660784,0
SOD,2000,42,3,Pitch,1.5018068539071814,15660784,0
SOD,2000,42,4,Pitch,2.0145465428978047,15660784,0
SOD,2000,42,5,Pitch,0.9328965155198432,15660784,0
SOD,2000,42,6,Pitch,0.754121437802051,15660784,0
SOD,2000,42,7,Pitch,0.4966153102621191,15660784,0
SOD,2000,42,8,Pitch,0.7576687608986916,15660784,0
SOD,2000,42,9,Pitch,1.506230176269573,15660784,0
SOD,2000,42,10,Pitch,2.0875544056941675,15660784,0
SOD,2000,42,11,Pitch,2.849795507161427,15660784,0
SOD,2000,42,12,Pitch,2.7831640677494094,15660784,0
SOD,2000,42,1,Position,0.9191684201967446,15660784,0
SOD,2000,42,2,Position,1.6815028787606028,15660784,0
SOD,2000,42,3,Position,1.9759316991920253,15660784,0
SOD,2000,42,4,Position,1.736883796874344,15660784,0
SOD,2000,42,5,Position,2.08603148356456,15660784,0
SOD,2000,42,6,Position,2.012885238817475,15660784,0
SOD,2000,42,7,Position,2.0460385687119147,15660784,0
SOD,2000,42,8,Position,1.9208702218907423,15660784,0
SOD,2000,42,9,Position,1.871197236667808,15660784,0
SOD,2000,42,10,Position,2.1354703075632067,15660784,0
SOD,2000,42,11,Position,2.1713013375498216,15660784,0
SOD,2000,42,12,Position,0.8438999690249532,15660784,0
SOD,2000,42,1,Instrument,0.8097994317385,15660784,0
SOD,2000,42,2,Instrument,0.7605380416792336,15660784,0
SOD,2000,42,3,Instrument,0.6097829063234065,15660784,0
SOD,2000,42,4,Instrument,0.462291801600135,15660784,0
SOD,2000,42,5,Instrument,0.5377405719573144,15660784,0
SOD,2000,42,6,Instrument,0.5477490359040452,15660784,0
SOD,2000,42,7,Instrument,0.5349243840864261,15660784,0
SOD,2000,42,8,Instrument,0.5112976004718823,15660784,0
SOD,2000,42,9,Instrument,0.5742071300133581,15660784,0
SOD,2000,42,10,Instrument,0.4601939786951473,15660784,0
SOD,2000,42,11,Instrument,0.3930324410286118,15660784,0
SOD,2000,42,12,Instrument,0.6510575122703491,15660784,0
SOD,2000,42,1,Tempo,0.0902621921773447,15660784,0
SOD,2000,42,2,Tempo,0.0726152908557114,15660784,0
SOD,2000,42,3,Tempo,0.0733942702801386,15660784,0
SOD,2000,42,4,Tempo,0.0499589638995577,15660784,0
SOD,2000,42,5,Tempo,0.0596880502609625,15660784,0
SOD,2000,42,6,Tempo,0.0641623124777999,15660784,0
SOD,2000,42,7,Tempo,0.0733971456704541,15660784,0
SOD,2000,42,8,Tempo,0.0639241334280783,15660784,0
SOD,2000,42,9,Tempo,0.0612781835340855,15660784,0
SOD,2000,42,10,Tempo,0.0690142439576458,15660784,0
SOD,2000,42,11,Tempo,0.0644833666241437,15660784,0
SOD,2000,42,12,Tempo,0.1483918340375943,15660784,0
SOD,2000,42,1,Time signature,0.1056045708774653,15660784,0
SOD,2000,42,2,Time signature,0.1131176022863664,15660784,0
SOD,2000,42,3,Time signature,0.1278059796311845,15660784,0
SOD,2000,42,4,Time signature,0.1005661406538071,15660784,0
SOD,2000,42,5,Time signature,0.1457905929765434,15660784,0
SOD,2000,42,6,Time signature,0.1398584554020323,15660784,0
SOD,2000,42,7,Time signature,0.1613116991570343,15660784,0
SOD,2000,42,8,Time signature,0.1328347230842087,15660784,0
SOD,2000,42,9,Time signature,0.122688335155635,15660784,0
SOD,2000,42,10,Time signature,0.1643599800896835,15660784,0
SOD,2000,42,11,Time signature,0.1504696117156585,15660784,0
SOD,2000,42,12,Time signature,0.2779013871137012,15660784,0
SOD,2000,42,1,Velocity,0.3513888167048205,15660784,0
SOD,2000,42,2,Velocity,0.2235231003817487,15660784,0
SOD,2000,42,3,Velocity,0.1695636646797465,15660784,0
SOD,2000,42,4,Velocity,0.0676519797242985,15660784,0
SOD,2000,42,5,Velocity,0.0660521783931981,15660784,0
SOD,2000,42,6,Velocity,0.1531100785664484,15660784,0
SOD,2000,42,7,Velocity,0.1799781072367534,15660784,0
SOD,2000,42,8,Velocity,0.2252708494790511,15660784,0
SOD,2000,42,9,Velocity,0.1047727506468297,15660784,0
SOD,2000,42,10,Velocity,0.1051640825375592,15660784,0
SOD,2000,42,11,Velocity,0.0968137781353296,15660784,0
SOD,2000,42,12,Velocity,0.6345120009894276,15660784,0
